sent	label
404^~199^73^~228v382^569^~916^307^~708	0
961^527^419v~882^~205^637^~261	0
~322v~842^571v449^~149^~190^~201	1
755^~571^~707^~844v~465^~919^578^~208v~505^539v274^~381^407^289v26^812	1
~189^797v~26^774^~971^231	1
~601^~730	0
391	1
~50^~180	0
257^~980^245v145^~118^~48v~649v50v~163	1
~590v363^~931^932^792v945^542	1
167^~889^67v57^851^~156^~372^~158v612^~193v535^934^304^~175v709^~127^~709^677^~616	1
~238^201^~231v~720^3^631^~80^726	0
~596^237^235v~781^407	0
~57v~675^~397	0
279^~189^365^~568v401v~60^360^~523^411v~914^341^~213v~486	1
~310^18v752^~126^414^~877v~130^652^316v906^~526^973^~372v607^~961^~846	0
~769^47^531v121^~920v989^331v~896^~367^~639^~225^~516v~879^~620^~137^~59^762	1
~174^95	0
772^~46^538	1
~386^~26v156^410v324^160^~581^388^970v403^610^640v728	1
~188^~903^~553	0
818^57v~86v~152^275^~62^475	1
887^~623^470v~164^~116^22^~609^~242v~565v78^~257^764v~92^210^754^178	1
585^345^45v~345v~166^115	1
941^~552^993^~662v~498^44^~428v~628^~795	1
~916^~501^~214	0
327^~949^~204^~716^373v~116^437^570^~678^~924v279v94^~110	1
757^~262v623^746^978^305^~206v~694^~31^883v~617^~448^182v~119^538^~58	1
340v~434^~520v879^890^480^~739	1
~582v~797^542^~21^305^427v347^873^~626^786	1
~252^~212^~617	1
570^851^318^~264^873v~849^~657^660^20	0
506^~714^830^~102	0
880v~437^924v886^562	1
915v627^738v320v516^72^~196^149v462^992	1
~998^707^570^~158^922v464^708^166v988^456^~767^275	0
~60^659^580v~969^957^~639^148^~97v812^413	0
476	0
~419^426v818^251^183^203v~988v935v432^~870^~299^~543	1
739^~484^49v307v838^992^626^141v288v~44	1
~704^~531v~120^~217	0
381	1
378^957v909^~972^~904	0
~671^~891v~2^462^~482^~558^836v701^~563^~546^~599v~930^~408^428^975v~224^~596^990	0
~283^996^564^~539^869	0
~422^~531^927	0
967^~570v~342v~943^542v~596v~359^~313^561^513^621	1
~675^824^43^546	0
~59^~786^~465v~667^338^~408^960^~158	0
371^909v1000^320^~391v646^413v926^372^~365v732^~76^~695	0
7v900^~777^87^~890v~923^~791^~229^~598^~77v934^~758^379^~230^820v890^~747^~112^923^~250	0
557^704^339^38v180^956^~368^~193	0
501^~210v1000^125^331	0
~283^~683^667^~56v189^~561^~136v704	1
~684^395v~603^~170^64^86^~838v~223v~484^531	0
682^~281v251^94^~414v~206^89^117^676v~616	0
866	0
53^~621^~595v707^~657^273^592v~919^85	1
~699^~819^78v~62^223v~149^826^86v883^917^58^858	1
776^680v966	1
~714^~504^~331v321^~816^17^255^54v548^50	1
~674^821^~610^152^~524v77^~209^656^647v625v~303^766v~660^666^~686^987	1
206^141^~383^~969^903v~591^~628^~142^655v62^283^783v~380v~844^12^~433^144	1
~685^~155^~199^~317v109^~282^289^603^842	0
36^55^~274v887^~420^~409	0
455^~888^516v69^~678^~336^~619^~616v~401^~859^~219^384^~982	0
~907^158^730^824^789v112^777^448^82^591v487	1
~391^~451^490^637v533^~163^~558v681^703^~706	1
771^815^~328v~145^477^~453^~571^182v903^549^~351^~523^~773v~129^~160^159	0
~597^847v269^35^~74v~583v~597^~869^528^~155v931^441^~935^177	1
~626v~644	1
~649^~377^712^224^~733v757^~576^666^~270v589^~695	0
409	1
~180^949^~734v491^~984^482^~89v~728^~466v77v877^~22^~60^417^~734	1
~57^681^~571	0
~854v568^259^634^312^258v~900^626^563^~935v112^~838^~777^477v638^~400^866^~465^950	1
~989v~890	0
147^199v~485^~910^547^~982^917	0
~358^~917^365^979v~847^190v596^182^334^272v~192^876^~775^844^945	1
604^~346^~27v~402^~977^641^~368^359v15^~380^~639v489^499^472	1
~8^756^822^~151^315v327^729v~808^~320^~304^862^~610v~822	0
875v88^~239^584^~949^64	0
~403^536^378v180^376^244v~953v55^935^517^~618^429v45	1
84^156^265v~504^~467^~616^840v~345^~921	1
448^199^730v~59^775	0
~865^6^~299^~630^179	0
263^60v~347^381^935^~460	1
~230v951^~937^~900v90^644^84^~560^~832v~774^43^906v678	1
991^908^137v771^525v710^76^231^~348^521v814^865^311^~595^~946	0
853^~659^482^389^425v~176^938^~526^313v990^~674v897^~386^616	0
19^~56^~756^516	0
~956^~268v~466^~545^859^~746	0
592	1
512v531^524v~305^965^~740^~373v424^874^553^~606^~782	0
550^913^889^~276^987v~84^~40	0
~297^733^498v~342^~392^79^~950^634v807^101^~174^792^~857v~766^~237^500v580	1
~912^559^58^~319v~516v~740^~415^~161	1
~40^463	1
103	0
286^494^969^~521^~236v~249^715^999^~298v~632v~390^~932^740^~124^508v47^34^~355	1
~659^191^435^~798v~821v772^~937^~630^~44^486	0
579^~222^192^220^971v961^608^294^~755^204v573^241^~499^~649^378	0
543^958^953^810	1
~615^599^661^~653v~470^~998^~163v~160^~886^~527	0
785v~128^~529^~490v590^~297^926^685^~29	0
559v180^~123^50^987v~105^~784^~256^245^406v86^533^~268^212	0
~742^~950^728v~415^~252^372^~307v~904^~62^~34v~399^~729^~90v522^6^751^~315	0
~388^113^~503v736^345^649	0
~48v295^720^476	1
~779^~297^~332^889v~330^~541^~373^382^2	0
150	1
180^426^423^480v832^~866^441	1
501^~276^312v597^~718^~692^~560^13v~823^931^~389^~692^~582v~700^~377^421^~115^53	0
~707v572^862^~857v605^~815^~355^~964v~315^469^887^~869v223^704^~609^132	1
~963	0
608^823^806^~766^571v540^427^580^~968^272v622^617^~197^~800^408v~781^~83^424	0
~324^430	0
~778v262^419^~246^~523^88v~242v~749	0
118v617^865^~621^~358v~428v~689^~96^~786^785^~914	1
~305^562^832^~583^729v991^676^532^~871	0
694^265v558^83v114^847v~270^~198^630v994^~724^16	1
~501^~983^605^353	0
995v~164^~600	0
~730^~132v~23^~380^425^~814v20^488^~283^~373	1
316^~392^149^764v~861^~626^~413^525v~85^871^~378v~104^274^876^~740v58^~582^36	0
42v556^~766^~747^97	1
974^~2^218	0
~798v~769^~175v20^~255v163^839v~263^~888^319^258	1
~588^~701^~259^~813^~526	0
~928^456^834^538v497^382	1
641^843^~5^217^395v~303	1
807^~722^~4^~277^176v~549^~984^~849^360^~640v405^563^157^~607	0
~105^997^392^~839v871^744^106v167^~340^555^127^~480	0
~429v390^419^942^~182v839^~64^691v657^~641^573^862^~600	1
~234^~937^~890^41	0
512^~595^~554v74	0
78^~507^850^54^~208v~617	1
~911	0
~396^523^857^~487v388v~1^~343v~507^504^~748^~469	0
436^~140^~501v137^395^667^~326^~611v~953v178^797^597^816^41v~914^503^155	0
~969^~6^~631v~102^~158^266	0
~585^~695^~336^~874^~20	0
~73^916^~250^308^~194v325^488^~591v900^821^51^~921^~402v~605^~126^624^~869^388	0
~804v931^~172v~971^~277^519^252^~480v504	1
7v629^731	0
654v842^~415^~607v829^~703^~989^842^~780v319^~602^532^~991^748v415^250	1
~974^~665^69^721^911v831v~308^~366^880^673v~661^~412^177^~307	0
~927^~522^804v629^~961^~753^6v509^~769^189^55^~651	0
222v~3^645^552^744v827^752^~318^~719^~755v~812^~994^342^783^433v~502^199^~251^561^275	0
~719	1
~59^937v414^~845v453^657^720v350v~923^~941^~748^587^667	0
~861^885	0
967^~922v110^345^~884^~953v~67^208^327^~88^505v~628^990^254v~273^165^~896^839	1
148^~685v~876^~335v615^269v247	1
754^222^~262v175^375^977	0
929^~306v867^~705^519^~507^~95	0
110^~878^578^316^253v~114^~275^379^340^426v543^155^424^~327v908^~817^382^~351	0
804^~213^219v~943^~875^943v429^~943v470^367^820	0
~96^~92^~193^~158v54^961^803^~429^951v515^~592^907^~766v~391^~144^926^323v~966	0
~661^724^477v~331^970^~238v589v711^979^85^900v~495^843^584	0
~526^~21^573	0
~386	0
164v~729v~473^~446^32v~956^799^331^~367v~531^938^~435^~777^145	1
451^535v~722^96^501v965v~512^~565^~596^~933^308v169^~83^647^195	1
39^~62^~312^~921^905v~398^544^76^54v1000^423^735^~539v~845^~223	0
~17^~432v272^~709v747^~204^~675	1
~442^439^~498v687^~306^383^~990^419v~140^722v696^747^77^117^394	0
~108v~297^516^~891^706^~183	0
945v~796^~628	1
~558^~333^~613^915^586v502^~519^647^286^~996v~252^~212^545^497^67	0
930^707^73v504^~667v~796^292v232^~937	1
~222^~177v726v537^758v~110v850	1
~154^761^582^~896^~457v~585^374^~375^~99^478v~590	0
616^879^658^~209^~970	0
181^~340^904v~73^803^~937^~760	0
920^~923^724v151^~294^378v823^~51^72^197^432v743^~824^~177^~734v~168^~36^~877^~594	0
~897v~406^706^~245v~712^~138	0
~518^129v469v~813^~245^208^~597v~35^~232v868^77^959^~815^745	1
555^~418^~594^~424^~115v~411^593^~112v~170^~598^~375^124^879v928^~639^481^~624^740	0
449^124^~276v986^~582v~811^606v611^396v~847^~196^~341^474^154	1
~871v284^714^325	1
922^~209v~172	0
~642^~716^~859^865^39v~14^169v258^479v436^~446^65^~69	1
~238^~624^44^~395v694^424^146^~664	0
257v~999v325	1
532^888v~818^~522	1
~310^217^~911^204^982v~224v205	1
830^701^~440^~791v299^~46^~890^361^~278v272^~479v413^~397^~54^841^659v~56^~990^~175^~796	1
957^~224^748^277	0
~833^422^~334v~573v~49^854^267^159^~594v~2^~16^~691	1
385^639^~806v~38^~929^312^492^869v~199^~840^~802^891	0
707^~134^525^538^~890	0
358^551	0
726v~648^~425^710^910v~417^301^~683v~284^~284^686^755v~312^41^521^~79	1
67^604v506^518^670v~187^~697^~824	0
691^~604^~796v~772v~192^824^~416^306^~550v~977^56^~344	0
~129^611v~151^~849^~241	0
~913^~958v353	0
292^927^446^~765^460v504^164v124^~118^~20^102	1
~259^~790^182v~813^~730^442^~346^785v~29^992^863v~731^299	1
453^475^~552^~428^~26	0
~668v88^~261^~5v~520^887^~253^894	0
524^71v749v~338	1
862^~598v631^126^602^~450v670^~112^941v167^530^~578^~526^~204	1
~77^126^~91v863v~657	1
~890	0
~95^917^~635^~820v952^~43^72^537v190^~904^~708v790^~589^~426	1
~167v116^11^~41^~503^~836v579	1
795v~489^~746^810	1
~218^556^~14v~109	1
~890	0
906^~232^~12^996^~735v~610^~613^683^311v~336^628	0
299^~976^~32^~857	0
334^819^325	0
288^857^~132^~138v445^~684^~767^421^275v254v986^456	1
~499^236v364v~873v466^25^914^~475^~671v~736^379^806^601	1
~177^~98^338^~679^679v583^~993^770^667v213^~14^~633^~793^100	0
~691^644v681v~380^604^~459v855^~833v176	1
~476^465^~419v980^323v346v49^~767^~6v694^~308^~26	1
618^615^~884^138^654v~888^~98^~38^~790v286^~506^~740v486^~942	0
339v~52^415v~788^104	0
~747	1
~205^~291^251^342^~414v~65	0
178^~969v504^106^~100v682^~747v~369^~630^289^932^~703	1
~896v~667^~932v43^242	1
1000^998^308^~539^617v~411^896^457^161^36v582v~857^~911^936v~366^535^~274	0
~458^~48	0
~250^32^~895^362v~436^935^166v447^~414	1
119^~78v~728v305^491^593^~410^793v~371^~59^~101^~354	0
778v505^696^380^~834^~15v457^~177	1
~110	0
797^338^~767^~739v~253^~434^~528^~977^86v674^543^553^~545v~358^448^~188^~663^844v295	0
763v~860^~812v~415^748^21^691^~362v~728	0
~850^~775	0
886^~968^~81v318	1
~697^412^685^~225v~349v~108	0
653v856^~477v~927^913^~977^~755^~366	1
~533^82^~43v208^696^~698	0
136^877^~484v~70v631^~593^~85^796^711v~681^440	0
78v~623^601^~443^308^702v886^~644^599	0
627^122^591	0
~348^~2^~962^573^~357v78^~457	0
172v534^~910^~8^~523v434^~489^451^~914v~22	1
~704^574^926^~187v~871^~27^604^~594^812v~615	1
327v937^~851^115v999^705^237^358^359	0
274^~695v323^~207^~216v668^~528^385^~206^~372v194	1
174v187^10^~575^594v~987^554^~11^~20^~980v~908^389^966^~691^~162	1
258^~103v296^36^629	0
923^909	0
~43v833^~806^238	0
~972^638^171v427^264^~209^634^705	0
~235^987^674^952v855^261^376^29v475^~672^~836v905^177^~240	0
~515	0
202^841^13v607^168^~213	0
41^~953^480^~604^8v551^~326^378^835^~732	0
565^314^~271^99v~501^~754v358^~902^108^225v797^~695v765^~457^~859^~817	1
~111v~21^~586^938v583^323^~323^863v874^~421^235v843^862^620^247	0
~560^~708^~687^~405v340	1
169^~207^~945^42v~99^~273^910v~656^396^~967v~558^~860^993v604^768^~84^128^~109	0
~470^~918^~5v471^~901v~525v755^837^~720v~803^140	0
~49^~43^~218^196	0
~640^~605v~930	1
~946^~938^525^578^~428v667^~204^~563^587	1
59^143^~912^~225^~562v451^414^969^120^~359	0
347^83^~118^~577^~86v~888^393v~499^35^~84^~344^~729v~218^372^~361	0
~186v518	0
524^655^659^~593v~344^512^~448^676^901	0
~743^582v764^135^410^~905^~506v~330^~386^892^26^23v684^~301^616v120^587^~801^87	1
242v736^~67^979^717^~1000	1
420^700^712^845	0
~259^194^~282^744v357^~81^18^~696^415v~535^755^~454v~202^224v~868^~592	1
~12v143^468^~364^~919v763^161v~359v~653^371^~76	1
~180^~371^394^~693v~967	0
357^16^~216^~182v~826v266^~457^683v~543^~24^323^~676	1
480^372^64^~141v379^686^742^358v829^480^749^~620^654v546v~851	1
425^129^~44v959^700^567v659^~101v~819^~421^~794^~477v15^500^~355	1
544^837^~934^282v851^760^~877^557v27^732v~657	1
83^~246^~409^73v~400^~489^~697^~787v~207^~816^520v195^49^~561v~790^336	0
503^499^~76v~148^455^~317^~759v87^~111^~342^592^~946v645^411^~619^467	0
~80^~367^646^227v499v~425^209^78^~105^96	0
~77v~359^~791v892^841^~351^754^759v591^827^497	1
722v~474^~940^~216	0
~16^194^526v489^~334^~704^766^612v1v307^762^403^251^92v671^~639^~716^64^~277	0
918^~622^~398^~899^~35v~425^~250v470^~515^740v371^513^932^~257v178^4^192^832	0
~497v~339^~237	0
~726^366^265v~815^309^~318v~62^401^723v~198^~792^470	0
~309^810^457^~438v~861^848	0
~276^889^~53v~361v664v~814^439	1
209^~111v~75^518^6^282	0
630^~431^~231^38v~890v281^~667v714^~116v~992^~337^527^~132	0
~408^242v~24^~158v~183^~281^855^603^543v~421^~958	0
~948^674^825^732v~943^82^263^~69^~999v300^92^~574^676^917	0
738^~325^943v619^~743^442^766v406	1
643v270^~775v475^449^~912^646	1
59^~344^291^106^433v377v443v292^14^596v~997^249^155	1
~110v~45^~768^~137^631^852v745^~259^489^724^~420v~486v514^746^248	1
~300^93v883^~459^~321^278^203v383v~10^344^685	1
~121^~152^293v111	1
~588^~854^~857v~249	0
394^~647^182^~561^~358v~547^630v~30v677^717v777	1
~994^78^451v716^~445v~689^~374v~310^~290^526^13	0
~987^~226^~120^345v~126^~184	0
737^~196^~905^~618v783^~582^~244v~625v730^392^371^33^772v~660^347^~377	0
276^~122^542^~315^~747v214^630v762^~954^~911^~899^~312	0
957^~225^~488^469^~915v903v~529^784^~501	1
~473^483^690^863v~409^~976	0
~784^~199v340^208^141^202v~877^641^~232v~935^785^411^244^~934	0
376^260v649^184^~781^983v654^~38^~621^153^~204	1
~118^~165^665^~101^~852v~851^~815^816	0
~729^21^~458v~137^~614	1
682^524^~962v~961^~670^~618	0
~367v~111^115^~819^~780v~685v~336	1
~713v610^780^892^251	1
91	0
885^~716^982v~742^~279^~437^~234^~674	0
577^940^785^38v~342v353^953	1
670v501^664v509^~106v~217	1
~444^328^~267^~321^~547v~567^~696v~239^~891^654^~607v349^~902^~978v947	1
~731^496^~36v~757v~28^431^484^669^~875	1
503^7^~872v~183	1
~325^723^510^654v660^~644^~574^~531v293^~222^~273v783^619^385	0
917^~482^~678v~674^~492^57v~699^360^215^~430v~640^231^125^519^645	1
488^~311^713v~814^~242^640^974^295v~297^423v~658^~160^~492^510^~497v970^553^~858^~653	0
858^~290^42^426v~919^~104v811^738^~451^~601v~636^710^~901v318^~337^27^445	1
~571^907^~639	0
683^~295	1
~510^749^116v~283v~791^~935^~637^~802^420v~453	1
~538^~985^553^727v75^~610^381v589^~996^759^866v971^~330^540	0
~197^498^~798^483	0
139	1
566v~181^822^487^~570^~452v116^810	1
392^754v228^862^383^~9	1
424v861^190^~193^~897	0
689^~137^~460v657^169^~169^174v~813^786^~381^~858^~233v709^310v~778^~78^~100^27	1
~994^~634v~631	0
601v~18^947v~940^~150^996v~624^~114^~329^~79	0
591^~460^50^465^129v374^861^113	0
~804^283v~462v~280^348^~9^350^~553v~613^563v832	1
966^~176v902^654v~789^~593^~584^~168^167v464^~215^~930^~743v1^991^745^~762	1
~730^~294^~760^797v244^~36	0
721^105^~526^394v883^~713^558^~576^~688v835^~380^~715^426v~167^985v482^~125^~586^~31	0
~711v~950^~523^975^~838^~710v159^~568^~243^697	1
66^789^436^~517^980	0
804^~960	0
~636^~985^111^~267^202v275^~937^~128^~894v413v606^860^~321^~234^149	1
~938^~821^714^~258v~975^538^~995^~996^~696v165^~132^188^~258^~706v318^861^788^222v~880^482^~277^~765	1
~363	0
~928	0
215^304^134^~467v963v~725^888^923^~210v145^935^~173^449v~231	1
18^~393^606^149v~53^~26^820^214^~427v~678^309^~608v~522^542	0
398^~121^613^151^232	0
748^~496^684v586^579^308^~416v~431v632^814^~514	1
~973^319^338^255	0
~30v823^875^513^~386^~586v~749^929^739^747^~638v928	1
~228^~652^181v399^~566^~960^~354v587^~181^684^494^~516v~160^582^958v~662^~33^86^882	0
109^242^337^~45^~304	0
~737^815v~395^238^165^286^143	0
~186v~561^~692v133v305^~571^~344^~395v~242^~761^924	1
~446^281^124^~510v~762^~842^~807^~236v~495v552^948^514v~17^368	1
971^~136^142	0
536^830^~535^744^~161v~486^~829v453^688^438^279^~491	1
668^~255v196^359^~813^316	0
~607^16	0
~954^~221^341^~880v~954^139v374^122^~937^470	0
~716v32^194^44^~84v~936^~959^935^~281^369v171^~262^~565^705	1
756^839^954v299v~821^280	1
609^~895v990^~350v~949^650^177^841v775^~789^273	0
~775^662^~244^815^582v769v~427^~961^~381^721^547v~115^769^192^626v~144^~647	1
250^318^485^~143v~939^114^~385^735^415	0
~380^405^~280^~194^179v~191^891v937^~377v~525^~728^~755^~271^911v388^~485^990^~494^~539	1
452v~56^~536^~397^58v~765^643^~201^859	1
591^831^~661^540^878v~642v993^~321^315^489	1
636^700	0
693^251^~449^~962^690v~702^931v52^595	1
~689^~715^675^807v~500^~366^~943^149^396	0
512v~560^756^921^~765^534v511^~853	0
1000^232^800	0
~276	1
~836^644v418^148^114^10^~916	0
~150^~31^~57^241^985	0
~124v503v85^~467^~556^250^251	1
58v687^~893v177^484	0
701^986^~618^~753^155v~450^620^~568^~467	1
~819v~745	1
669^~328^~414	0
~725v196v~241^327^~984v~582^~520^593	0
176v91^88^24^742v~817^389^~41^847v~120^122^~918^740v507^~407^819	1
991^~937v280^526^~689^518^713	0
244^383^~812^~673^~885v480^839^~170v~662^864^622v~639	1
192^~354^~462^~294	0
~547	1
~417v348	1
740	1
330^121^~780^~811v~274^~554^~798v189^792^954^700^~240	0
949^~950v~928^~835v172^758^~500^~656v173v975	1
~299v~512^547v107^842^585^60^~610	0
~78^96^~488^762^12v55^~291v~377^842^938^942^~653	0
~210^~594^891^~84^~593v~133v152^941v~206v~543^~891	1
~91^373^267^533^~82	0
~385^454v~892^166v~521^195v~344v~949^537^257^459^~867	1
285^830^609^724^311v701^~462v~653^~361^~974^972	0
160v333^760v87^506	1
~250^~775^570^~649^258	0
492^~723^653v148^~111^987^~753^~427v99^~283^~560^230^~170	0
727^~709^710^203^~848v~889^~287^655^165^824v546^~435^~382^45^~813v~226^~147^~338	1
~932	1
246v26^581^521^951^187	0
~909^~214^~627v~266^~192^362v~440^795v~946v~373^~572^~195^~433	1
864^~719^~189	1
382^526^~893^56^~439v199^131^~963v556^88^~983^~53v~952^~106^399	0
~246^753^704^935	0
~273^~588^~968^~725^205v788^392^312^783^~204v895^293^18^121	0
~633^69^~916v~439^~762^~702^333^~268v~586^126v26^28^143^952v~614^495	0
847^204^103^330v~245^693^18^~602v~783^751^~876v443^965^705v~527^321	0
~276^594v~331	1
~135v856^~590v14^~188	1
324	0
~609^523^~121^684v797^~109^99^753^853v~904^930^~255v918^461	0
~159^~351^~172v~164^887^385^~606v89	1
~679^137v452^~419^687v~749^~833^~523^~942^~641v~471^577^~545^886	1
~933^~484v~437v607^114v266^~371^~448^~656v234^~728^~89^~176^~18	0
408v283^704^530^~967v626v797^887^~385^891^908v~5^775^~351^868	1
186^867^~190^480^~242v~87^~273^492v~506^~76^~933^321^281v~959	0
~354^~790^~758v~743^76^~414v667^965^~625^557^830	0
652^595^999^~945v~42v~520^~114^711	0
~613^621^867^188^~288v659^~774v~407v~350^190^738^226v713^~790^993	1
974^503^~732v717^~106^~656^609^~497v100	0
~626^~684^461^~691^~111v~301^~1v~922^882	1
705v43^~555^~869^~755v~123^720	1
149^804^~287^~872	0
193v304^75^563v~328^~423^795^~319v970^~176^~169v~958	1
593^565^~943	0
~200^~928^~434^~706v~785^421^~224^~732v~378v783^~859^264^724^667v~771^~356^82	0
873^~309^951	0
151^221v~889v~866^~791^539v655^611^~201^~855	1
~322^252^~188^170	0
10^985^~947^~876^~825v~618^~936^~408^561^367v172^389v~776^650v~41^535^~218^57^~953	1
540^828	0
~79^~774^~631^~586	0
935^~556v44	0
~885^267^984^89v~7v512^~615^~466^538v394^~1000^~972^549	1
742^~505v~749^987^477^~322v341^~93^~598^60v~646v~479^671	1
6^782^~802^~244^682v~963^~629^150^492^~941v~829v486^~555^435^623v947^~960^~581^826^~614	1
~900^244^331^940v956^667^~928^~892^677v136^~134^~312^~997	0
~190^~801^974	0
478^337^50v122^819v922^~805^~282^355v~360v738^742^~486^275^672	0
~967^~632v52^261v~636^428^~914^~241^835v~445^202^617^288	1
~275^~672^461^252^704v~703^~520v320^142^248^~346^991v969^~787^160^~457^479v~260^68^193^~812^~422	0
~845v920^~545^~123^178	1
~502^905^466^~587^~82v91v~492^~663^804	0
534v719^~904^854^~522v~880^886^81v963^255^~349	1
746^~139^478^~26^~974v292^~885v~184v~950^~625^~157^650v862^587	1
~610v~14^618v337^158^~923^~339v~497^~933^~862^~842v473^~969^~919	0
~11^~197v~986v969^614v111^913^~273^~510^~131v131^65^~77^~104^~607	0
~13^705v~654^123^~218	0
601^134v~91^~34v~223^183^234v~539^~771^393	0
242v~459^~493^802^~632^~286v~217^~695^~162^111^57v953^972^~994v876^94^~717^995	1
702^~281^~374^~826^112	0
485^124	0
595^~638v~297^277v~922^~643^~5v364^~543^~619^765^~279v~736^414	1
~679^~518^~510^881v798^~668^681^~724v~428	0
500^~213v~246^~500^288^~210^~59	0
847^~644^908^917^~962	0
~534^~224^727v~479v753^95^~236^551^~551	0
~388^664	0
~5^282^~67^~717v860^823^~277^162^~864v784v922^~534	1
92^722^~303^14^~646v~9^~927^~196^~595v311^182^~965^81^~343	0
66^263^~537^~446^~466v939^938v~529	0
~83^~710^~909^~468^781	0
~824^~188^~742^~306v15v~264^~184^273^~987^593	1
~335^~328^403^~218v~93^~628^~241^480	1
237^938^~490^669v604v996v641^~707^946	1
~248^~739^83^927v~77^~168^217	0
~775v~776^383^~950^516v391^259^~283^~490v~571^~151^~634^~177^329	1
~526^152^833^446^~481v377^515^307	0
556^718	0
~641^~260^~190^~228v658^628^~550v970^351^~593v~656^~170^471^~388^797v320^719^~137	0
~558v419v~77^~704^~544^~128v971^265^~952^119^942	0
~82^~595^735^~899v~99^650^~309^314v175^305	0
598^~362v~845^853v195^~345^~13^921^~804	1
628v~533^652^192^~159v~372^520	0
~928^~247^429v540^~374^839^~941	0
~292^~457^54v~532v~629^~394v~809^110^~704	0
~11v570^391^~547^782v670^~952^~475^~537^422v~171^~549^548v704^~664^280	1
~513	0
715^485^234^~983v~337v766^407^957^~487^~124	1
641^246^~291^802^273	0
~952^~176^241^~491^149v~324^510^113v743^~116	1
83v47^~807^~577^234	1
805	1
~118v~21v197^~103^~327^853^~359v~519^855^~22	1
329^~807^~607^417^834v867^569^~208^~64^~886v254	0
~646^~230^101v796^~271^203v144^~753v425^188^707^~846v803	1
~24v~751^612	0
918^~495v895^501v162^64^644^~220^118v~949^447^~30v~524^641	1
~252v727^724^~397^~193^~607v~101^786^709^981^~60	1
949v~335^~118^~513	0
792^348^180^~644v~868^250^~81v~955^~511^755	1
~564^794^699^~62^434	0
~904^~809^~179^531v~769^~155^~85v~69^~321^~689^~514^~452	0
938^~757^357v795^~216^93^~270^~342v~422^560v938^522^465^554^164v119^~643^~142^783	0
~414^~603^409^74	0
~549^~211^717v780	1
~262^~920^~865^757^852v992v~18^~96^~378^~469v166^~452^~915^933^611	0
990^~807^561^917^378v327^934v~762^~328^115^1000v161^~529^729^~14^339	0
332	0
923^41^710v891^~940^1000^664^75	0
804^~283v~993^563^724^102^353v493^~879^398^~987v~886^405^398^887^~71v79^494^591^97^554	0
~598^253^~451	0
888v884^36^~544v~342^638^489^~150^~645v~848^~169	1
545^959^~522v~879^~411^381v36^~294v~742^152v506^~525^~386	1
~537^~383^~599^791	0
814^~881^~421^~159	0
~107v~85^332v~218^580^596^~137	0
174v877v~519^907^~823v192^~684^~874^~885^~257v888	1
~327^~657^~869^157^~915v202^~127^154^~194v~771^794^572^~305^887	0
~135^847^~912v177^228^~717^861^500v~103^110^~259^~658v~94^4^872	0
102^361^~228v828^629^~22^~384^768v107^~464^~868^304^203v628^167^~66v~250	0
~121^869^~968^490v~574^500v500v~35^~373	0
439^~45^~230v257^~753^~920^373^~859	0
~254^55^186^631v~293^~971^~438^896^~842v783^~616	0
