sent	label
~1296^4057^~3407v2622^4472v~8204^~9807^~4203^9996^7059v~6312^4734	1
~104^953^~3643^8404^8536	0
4077^6725^~291v6103^~1138^~6782^~8245^~8325	0
~1491v~866^~153^~6198	1
~603v~1287^~9337^5482v6646^5083^426v~2853^~5709^2443v3356^1806^1445^~9470	1
~9980^~7232^~8059^~7685^~3343v~7216^8544^~8076^~5847^2738v9647^~3738^8648v~2304	0
7569^7933^~3459^4964	1
6664^~1450^~2526^~6730	0
~327^~6752v1716^3779^5235	0
4411^~8079v669^~8036^9176^~7797v~8826	1
4041v~1801^6965^~5438v~9694^~4369	0
~1432v~7976v~5155^9554^2313^~9093^~91	1
5704^6644^~3347^~1842^8195v931^~8581^6309^2581^334v~4774^3586^9325v8019^~8799v3144^~2618^392^5411^~9178	0
4119^~9155^~869v8428^447^6686	1
2522v~1883^~1839v~5547^~9940^~5692v1412v~719	1
7689^~3776^~716v~8266^6359v1082^~1183^141v8967^5331^5954^~3839^6730v~8141^~9996^~7122	1
~3203v~6246^7292^~2115v~6749v~5029^4414^5734^~2952^~9135v~3453^~4570^~6148	1
3785^6445^~7652^~6317v4992^6155^5213^9063^8268v~6607^~5205^5785^3105^8496v~3191^5659^~6683^~3082^8460	0
~8912v8511^~5184^2796v922^4617^~5229^~4669	1
~959^6427^~6609v~1408v~4811^~2127^~167v8823^8538^~7132^2054^~871v7816^~6098^9923	0
5879v~1082^~1358^6865^~5701^4407	0
6831^~1762^~2657^~6926v~8199^2642^1323v7519^7520	1
3128^~835v9207v1825^~9443^4007^8286v2925^~5787^~6670^~9654^4945	0
~3874^~3777^4715v~2466v~9488v2540^354	0
~9675^~828^~6811^~1824^3127v7887v~6663^~1003^7813^~8482^8971v~7779v9596^~530^5717^9634	0
~8516^~7580^~3290v~1849^5367	0
~177	0
7448^1856^3865v1198^9248^~1751^~1538^~7752	0
~8927v~2409^8195v5356v7027^1401	1
1810^9638v3^~1914v3220v8037^2519^~1605^2741	0
~7585^773^1947^5193^8753	0
1055^4863^5830v~4849^~2379^9992^~6715^~4340v6982^~4203v~3772^~4456^9991	0
4291^5951^6363^1329^~1837v~9028^1431	0
~7797^~6324^6650^8502^~5818v~1947^4283^7035^9865^2855	1
~5612^1486^765^6256^~6450v~35^~3863^~2908^2661	0
~3450^~713^~9980v2008^~8889^1007^~9769^1094	0
~1398^6611v6796^250^793^4148^~9697v~997^225^~2931v4468^1212^~7639^~6688^~359v~521^~3387	1
~5778v~2835v~1461^~2434v~4039^9601^~1534^7647v8194^~1794^~8141^~1084^2724	1
~4883^~1475^5463v3323^~9173^1030v~9795	0
~110	0
~7226v4710^8203^~2209v6895^~1334^~5846^~2234^4861v6386^~2611^~3370^~1224^71	1
7451^~6024^~9265v~9243^3306^~5665^5693^~6354v6024^843^~2990^~24^1781v6071v9760^263	1
~8889^~9423^2083^~4868	0
~2683^~933^4211^~6567v265v9206v~2649	1
2374^1567^5584^2915	0
7282^6912^~1619^~7087v5910^~63^~5855^6234v~5764v~707^~9297^5158^2391^~1245	0
159^4135^~9132v~850^2398^3573^8509	0
~128^~3842^~2509^~4859^7297v~3919^~70v~9418^8950^5311^~5646v~6841	0
~9645^~1567v~5512	0
4806^6049^5781^73v1889	0
5424^~4825v~9157^4246^1623^2959v6189^~4101^~4237^3682v~4599^~6868v3550^5025^~6893^~1533	1
~712^~462^6771^4354^~5049	0
4459v~3594^9715^419^~2471^~6536v~8456^~92v~7261^8188	1
~9480^~7594^~2310	0
4500^~2802	1
~8114^4579^7218^4579^~2104	0
~1810^~8765^5580^9636	0
~1969^~3440^~828^~5414^~9667v7813^9071^1439^6717^~3802v3469^~2158^~5029v9548v~9530^9048^~1004^3885^1991	0
~9411v8251	1
~9042^~4319^9194^517	1
~5530^~3520^~7218^~3415^9358v~9622^9328^5479v~8473^3191^~9880v~7386^1820^4161v~3087^~7537	0
4048v4713^4446^~6886^4718^2861v1877^3880^~8828^6965^6818v~2229^~1538^615v~9274^2606	1
9844^321v4567v410v749^505^~1246v~8591^7982	1
9825^~5672^~1181^~5575v~4182v3769^~8858^2116^3841	1
5512^~4220^7849v~9626^~9929^~8309^5560v6617^9329v~1518^~7560^~5199^9005^4705v2049^5603^7457	0
~4015^~6278^~5853^~5600v9405^~3715^~3952^6515v602^1722	1
627^2963^~2020^5524v6573^~3862v~7336	1
~7260v~415^~99v904	0
~8689^~3872^~6689^~7100v~4678v~4551^~9491^~2509^~7904^4153v~1670^~2266	0
9758^~8668^~5770^1453^6033v2253^2573^~4378v3410v~8773^1606^~5412	1
~1713v6273^3225^2570^1463^~9864v~3946v6941	1
~5615^~902v7211^5689^6519^~2584^8085	0
~3776^~1364^~3208v6573^5856	0
~9603^~1139^~8527^~3197^~4761	0
~1210^5097^1333^~1449v5660v~7273^~6878^6212v~550^3772^7853^~1312v4820^1309^~7364^~3315^~7369	0
~9288^~8610^749^~4678v~2968^4358^~9395^9148v4015	0
~923^~224^3077^648	0
~237^~1193v231v~4953^~405^~8330^9248^~1614v~6307^9677^2233v7551^6468^~9169	1
~1343^~1783^~6317^4400v~2296^~3105^~2676v~1601^693^8461^~4159^~6989v7826^7856^~3281v~5039^7414^~3090^404	0
~3012v~3414^~7714^~312^~8499^9024v5413v4364^2595	1
6169v~7971^~2224v3323^3011^~8722^7445^211	1
7521v8644^7738v6640^~8695^~5415v4876v9488^~6558^1913^782	0
~7359^4424v1945^~2003^6672^9237^7392v~6296v8377^~3475^7722^~2122^~8544	0
5221v~2552v~8400^~4023^~254^~995	1
1848v~4923^~1154^4511v~8944^6316^6995^7718	1
~169^~2747^~2167^1902^~902v9865v~153v~6332^~6997^~2332	1
881	1
3198^5463v~9870^8924^~8187^~2808^1160	0
9827^~9113^8454^~4960v1478v~6754^~248v~7194^~9049^4676^~4610	1
7941^~3120^8460^~9659^~1448v~4399^~7056v2965^6248^~1653v8975^440^~3476v7427^~1290^9464^5992	1
6114	0
~4820^6807^~867	0
1799^8435	0
1947^9544^~384	0
~6460^959^8592^~3680v8044^~6240^206^~8621v5794^2196v~2529^~1826^5713^9173	1
604^~9651^~3877v7402^440^~3735^~1446v4594	0
1401^~7684^8547^9014^~2664v3600^~2069v~812^~9048^~8109^3469v~5249^4230^6684^~6641^~1408	1
~8132^5683^4976v9661^~1248^~3745v7125^7687^~7951v3730^~1799	1
~8825^~3044^9133v~5133^1553^~1649	1
~5522^2023^~1863^4713^~8394v~8713^~3510^577^8869^1751v671^6625v2613^1950^7017^~1514	0
4792^7436^2803^5388v~8626^~355v~8455^6478v~142	1
6870^~3345^8950^~7829^5378v~8465v857^~4180^3928^~6075v~7181^~8364^9755^4760	0
2276^~5490v6178^8800^1712^1851^~9384v~3612^~3313v~3798^9931	1
~7396^6990v~6741^3661	0
~4811^~7170^~7672^2743	0
401^2043^~3489v~5720v~7671^~9388^680v~1266^~5520v~8254^~528	1
1310^2210^~4787v~787^6201^7339^~8107^1073v~5810^~9334v~8286^~9578^8429^7608^~9229	0
3816v3704^~3194	1
~9112^~6373v~5934^~4272^~2272^~4724v~4890^~4054^~2545v~8857^~5154^5497^~6994^~4961v~1415	1
~1798^7806^~8719^290v7931^~9196^~5818^~6252v~4071^~1444^~1806v4033v112^~3033^~2264^9821	0
3642^~8904v~5094^~9207^~5910	0
9084^9523^~7139^~2883v3794^426^~6922^~9189^~3565	0
6822^8127^~8858^~1719^9864v~7063^8097^937v5899v5539^~69^4643^5277	1
~4788^~559	0
~510^5031	0
4442v~4122^4913^3853^~1197^~8377v~7412^8385^1038^4723v8907^7111^~1390^5410^2896v5047^~8977	0
9395^~6739^~9612^~2528^~7923v3852^~8950^~3018	1
7338^6297v426v~6587v~4810^1858^~2356	1
3893^9777^9899v8969v9273v~4101^~5815	1
220v~17^~6502v9316v~3422^5921^3890^728^~8487	1
~7131^6222^~2404^~1056v5403^3352^4013^~5375	0
~9157^~5596	0
~6493^~6824^~1697v~6781^8972^4102v2903^~7257^~6651	1
6692	1
~5902^~1022v~786^~5307v1911^218v~1862^~3954^9033^~6045^8808	1
5473^83^9403^5609^~4089	0
~2403^~9724v8450v7191^~8986^5628^~8604^2582v8553^5921^~6518	1
~3843^~4639	0
~3892^4019^7020v~3655^8687^~5138^5032^8284v6341^~2147^5917v2165^~5649v1089^~8474^219^~460^9358	1
~1928^~5795^~5885^8229	0
~8777^2402^5651^~9199v8445^7882v3655^4710v5326^~7852^~8741	1
2109^~1322^~8110^~3979^~5253v6822^3901v8039^~3879^~858^~948v~2469^~5081^~2257	1
4660^6298^~8420^7719^1696	0
~470^~8327^~9855v5099^6237v~5653^~8360v~4869^1417^8686^~3752v8568	1
~9121^~9867^~1956	0
9279^8177^~5772v~3886^7094^8921^6546v3662v9467^5529^193^2915v~5120^~2879^9822	1
~2988^6580^1662^~2645v~5367^4857^7615^7225^~1366v9862^801v~2818^3492^~3248^~7078^2530v~9095^9252^~2239	1
~5797^1234^8364^~2114	0
~2382^~6132^~8564^~9088^~5633v4316v~9210^8243^~4669v~7979^237^6039^7625	0
8565v~5321^~4235^~5294	0
~6930^~8196	0
8223^~7177v6920^322^~5814	0
~1785^~2889^~1182^~5228^~2319v6056^~4959	0
2048^~1858^1269v2958^~8810^~5815^1116v~5838^2631^1989^~7753	0
4142^4501^~8739v~5939^~1913^3634^5596^~6170v6821^~9771^~8283^~1589	0
~2510^~7732^204v~2560^6939^5943^~8081v7443v~3962^~742	1
5708^6831^3079	0
~5371^~1277^1955	0
~2438^~7326^~4521v7878v~5481^9551^1830v3778^3669v~9028	1
~2893^618v~8040v~7158	1
3562^~9067^~4626^~1277v~5605^3833^9954^~8105^~4945v~9602^3938^~9691v~2316v~5527^3749	1
~4816^~2432^~8243v5614^3663^~3526v~4786^~2854^~1582v8396^~1846^5176^~5098v7721^2765^~8035^8719	0
~1135^2394^~5571^4905^6453v7863^4645	1
~2204	0
7570^~9196^7874v~7560^218^5469^8013	0
~3917^1007^~8314	0
7704^9097v4996^~725v~1774^~7539^1804	0
~8089^~1297^9067^~6288^~2312v~6889^488^1618^4355^3059v~5641^~1493^202^~2698v9506^~3365^~1911	0
5949^~1802v~908^~4115	0
~5203^8991^~9525^6385v~8197v~1289^~9553^619^3899	0
4834^3753v2186	0
~5224	0
1300	1
882^~1201v4545^6474^5355^~7466v~9247^4561v~2110^6864^4370^~5085^~3991	1
4320^~1451^~125^6237^2909v6465^4540^8842v~7175^5933^~3843v~8204^~2726^5231^4005^~8635v~2011^~2747^~1729^4754	1
~7635v3904	1
5126v~6124^~5667^~6983^~2959^~8311v~747v226	1
~4523^~4857^~1845^5727^1725v6301v~246^~105^~6506^1783	0
~8959v~8794^5370v3298^~1847	1
~2882	1
~3178^~6129v~2164^7134^1074^3785v~724^~6985^~3672^~8427v~7755^6445	0
6973^6952^2076^5912^6335	0
532^357^3106^9924v~8483^~569^1994^9013^~3439v~2264^~1675^8699^8495^6491v~1555^5423	0
4024v~1523^~8038^8149^~210^9321	1
2877^~6685^6691^6161^~8183v9017^3824^~1716^~280v~7703	0
~1914^5776^8307v~9591^1974^703^~8590v~9722^~4947v514^6026v~7987^4700^~126	0
~6357^9171^~3261^~5893	0
1320^8299v~1567^9607v7297^~7437^8027v9866^~166^7196^9416v~1012^1912	0
7356^1261^8169v~8049^~9844v~2239^~9643^3821^~7836v3525^~4208^4522^~3536^4815	1
2995	0
3401^~8652^3602v6902	0
~6373^5813^9433v~1243^~7346v~6674^~7294^2769^~6476^7674v2031^~21v1674^~8800	0
~1227^1542^~6586v2114v~9381^~8290^~439^~625v6406^~70^1432^5978v1318^~155^~3236	1
4542^~8015	0
~4543^~1411^~9688^~1980v6098^5045^~2879v3428^7316^8537v~5290	1
1432^8417v9021	1
6078^2787^~8123^~1283^3324v5004v~3319^~6576	1
~763^2103^2661^~8771^~4312v~4320^6912	0
2373v~7354^~9003^~1470v~7589^~1075^~3798v4421^~1843^3552	1
~27^~3990^~709^~8406^7699v~6211^1787^~7065^~7499v~2080^9633^~7151^4710^~2548v1820^3082^~5340	0
7148^3731^786^~6279v~3899v3410^9369^~5349^~2824^873v~5230^~1028v8629	1
~1193^~6050^~9507^~7427v4382^~769v1201^1061^~9857v~6063^~6607^~6155^~743	1
~9857^~5436^~7964^3326	0
4658^5442^2829^4173^8550v~2334^1076^~4873^5468^9185	0
6961^~1955^~1018v1763^3303^8657^~131^7254v2647v9532	1
~2489^~9956v242^9081^7368v6405^6789v~2911^9842^~8304^~7346^~6229v8692^~5351	1
~5476^1138^~571^~4123^9624v~7596^1554^9740^~4967v8554^~1850^~6802	0
1710^~6635^~7847v~1663v~7275^~4045^~2073^~7920	0
~3049^~4387^~8720v1812v~2992	0
2391^8540^~6784^~8494v~9830v8421^8300v~3566^1610^7629^1780	1
967^174^~5311^~5233^9280v~3165^5703v5259^~8117^1120^7965v3004^~8518^~2610^6606v~9381^8622	0
~8099^~209^9928v9681^~904^2348v8370^5858^8900	1
~7892^3368^6864v~970^~9939^7329v~9425^3462^3835^5825^6825v6005^~9192^~3340^7655^4696	1
~3887^8074^~8222v~8876^8102v7620	1
~2567^~324^6899v~6125^271v770^~7763^~7090^9157v~5924^8945v2129	1
5254v9384v~9196^9320^313^9764^~5328v~1755^~5999^~7537v345^~9223	0
~7519^~8222^~3732v7431^~1197^9097^3964^3085v1794v~4167^5852	1
~8569^2368^3764^~787v~8050^~9988^~2504^8209v8087^8326^551^4080^1873v7583^~8021^4471^~9498^~9252v~9675^~2171^~9166	0
3595^~1735^~7261^~5713v~1760^~7722^~517^~6231	0
~9339^~6325v~9774^~7001^~7340^~9360v4141v8441^6437v~5441^~4663	1
~2514^4001^4369	0
7288v1980^~5129^~2571^2659^7789v6638	1
2711^5376^2579^733^~1019v~8949^752^17^~8482	0
7399^9446^62v9189^~4378^6468	0
~7637^578v6879^5424^~5587^5509v1813^~4374	1
~434^~1549v~3638^~7508^6126^6158^67v~1041v4727^~4748^6769^6782	1
1933^5027^8478^~2415	0
~8314^8004^5840^6056v~7516^861^~8543^8467^~7507v~5544^4045^~1660^5905^1190	0
~3827^4169^~242^~1372v~8573^1686^~5016^7653^4584v~7740^4956v~6982	1
~1495^~2996^5479v~5079^~25^~9414^3	0
~6637^~1686v~5329^3833^2907v3340	1
3155v5796^~8028^8872	1
8001^6717^7014^~9233v8243^5806^~2523^4458v~7046^8727^3137^9401	1
~1044^8775^5711^~7764^4922v~676v~860	1
5411^~4493^~1766^93^~1666v3221^2590^~5493	0
3363^~3944^~7651v~1870^~6549^~7122^1623^~146	0
1371^998^~6149^~2241v~5528^1206^8676^3758v299^3072^6947^~4100v~618^4795^~3526^2762^6607v9060^~5399^602	1
7491^~536v7202^9031^8540^~1656v~2126v~5647v3851^~4668^~2091^36^~9494	0
~4582^4159v~7135^~6592	1
~1486^5526^2301^2230^~7707v~1212^~7772^3482^4253v~9606v3008^~2233^5990	1
~2824^6467^~7354^~6445v331^~6203v~5237^~7277^9219v~3707^~9659^~1495^4821^~9476	0
9739^8498	1
3808v~6307^~1482v~2225^3354^~5348^~6194	1
~3864^3485^3030	0
2404^2409	1
~6828^1742^6579^~6980^~6527v~2880^~484^~1832^858v~7294v~6080^~9131^2194v~5581	1
~3025^1528^~9671^1636^~7585v~5856^~1795^4377^3367^6464v~7529^~2177^7863^2679^~6628	0
9819^7475^5579^1485v~9172^~2319^6338^~3374^6124v2852^~6602v~3770^2784^~9972^~9888v9000^7415	1
~1606^~2345^~5256^~1162v~2462^~6316^7471v~9582^3186^~4586^~1396^8791v7975^~3153^~8604^~1261^7875	0
2475^~9602v663^4951v3861v9631^9392^8473^~4823	0
~3491	1
~2961v~7502^~4327v~3284^~1762^~7946^~6667^~4861	1
4386^5262^3929v83^1533^~2632^5688^~4415v5027^827^~6705v3327v8810^4821^8725^~3573	1
~5453^7563^~4073^~4901^4004v3876^4957v9672^2576^~8645v9988^~5509^~4273v~162^4235^3703^4112	1
5634v7610	1
8046v8486^~1377^~9408^~3216^~7851v4771^~4928^~2927^4442^~1034	1
~3313^4050v774^6044^~1005^~9374v1501v1856^~9994^4024^8159^8433v~2422	1
2062	1
~6753^4983^~9818^~8431	1
~3199v~846v7833^6671	1
~1342^~2548^~4361^~1945	0
7830^6773^2784	0
~1111^3827^2172v~2162^~4683v3934^~3026^9343v~2222^~1951^~7595^~1290	1
~5826^324v2564^~174^~4016v~90^~8838^~3671^508v~1881^9685^~8190v5577^6139^~5919^~9355	1
3024^~3517^~1104	1
~6800^4550^8590^5206v~3922^9690^~9073v6096^5310^9983v477^~9929^6460v8127^1594^~4039^5941	0
~329^~8247^4324^~6944	0
3432^~739	0
~8121v3852^~7137^~7155v9713^1966^5654^~969v7676v6907^~5851	1
~4092^5185^7117^~1101v~5747^5323^~5420v7944^3422	0
3073v6623^2924v~4748^8484^~4102	0
~3360^~8142	0
7661^7503^~2611^~5801^6241v2765^~9144v~9220^8350v~4068^~332v9720^~3680^445	1
~6355v4800^~9991^7011v4613^~9482^9927v~8440^88^~2107^3015v~8345^2616^3275^8405	1
491^~1486^~5527	1
6647^~4474v~1528^~2960v1020^763^~5218^~1781^5339v533^4658	1
9166^~2515^~7015v~6063^7290^~5814^~6864^8051v~9805^9573^~5396^2704	0
~986v7293^~3334^4294^~6164v~1300^3663v198	0
4038^9346v6120	1
5467^~6022v~7411^~5469^6463	1
4414^~8269^4040v~439^~2597v1062^2291^~1804^~599v~2821^1775^~9322^~1130^~6362	0
~1527^7955^1962	0
~1104v~4882^~361^5436^~1395^6094	1
9793v~7277^3650^~9134^~351v2274^6315^~5643^~8568v~7574^~1821^4180^~9176v~9121^~3398^~1850	0
1461^9094^3188v~4423^9029^5285^2910v2213^~6668^~3257^3349^7118	0
8705^~6441v2500^1985^9142^~2180^2523	0
~334^4707v8693v~9372^~6028^~1784	1
~1892^2408^4240^~9024v~5838^4379^7306^9471v~5370v~9160^~8291^~9618	1
363^2675v3202^8306^7024v~6318^1089v5889^~6314^~9896^7566^~7582	1
~2597^9995^~117^~8439^~2454v~1322^4655^~5098	0
~6620v6182^5477^8442^~6718^357v~6610^9725^~7985	1
~6991^~2433^3743v3818^3194^6560v~6704^9072^~4136^1247	1
2778^699^9460^7983^~5219	0
9206^4467^~4981^~6308	0
9068^~3155v~6757^8184^~9640v~2258v~5931	0
461^1581^7546v~786^1103^~9875^6768	1
835^7228^~317^~6251^1834	0
6634v~4298v~1863v5891^~7568^8247^1253v~3859^~7097^~8658	1
771v8328^231v2119^3446^~2265^~2558v~886^1526^2868^90	1
~9796^8528^~349^~2248	0
7079^~9113^5594	0
~399^8480^7003v8244^~486^2264^8727^~2016	0
4768^7937v9762v~6362^~2150^6432^6858^~6583v~8698	1
~2419^~7886^~7361v3958v4309^2280^3014^3773	1
~2038^9493v5022v2693^7678^~3558	1
1081v9837^4249^9277^~1731v~6385^~966^~4442	0
5151^~5444v~3910^~4641	0
3967^~6041v5520^~1166v~4397^1094^~7251	0
8302	0
~6146^~7651^7278v~7734^~7117^2020^6296	0
~7672^~4442^8162v~4360^~5912^~4849	0
698^8151^7176	0
~7015^3818^~8949v~6847v771^~3740^~9266^782v~9949^~1083^~3216v~4920^~3199	1
5569v~6824^~805^~7464^2315^2992v5512v8057^~5486^969^9869^7472	1
9847^6364^~7515^6575^3450v3636^443^~4441^~5611	0
~8802^~6429v~8112^5683^4709^~4010^~4063v4470v6336v~8216^9300^~1322^2929^~1065	1
~4982^6291^~7833^~7690v2754v~3870^264^3646^~3788^8153v~7454^~4661v7421^~4968^~6348^4351	0
3196^~7744^~3818v7028v~548^~5090^3410v5887v9966^~241	1
~9125^~5793^~9679v~6130^7098^109v~6860^~9945^~8711v963^~5255^~7352v~8133	1
5567^~3569	0
~2111^5251	0
~1065^~8136	0
~781^~9894^2183v~5649^2527v~3089^~3008^3096^~1543^5535v~1666	0
4821^~6451^5269^~9164^~3320v3263^~7001^1674	0
1786^2121^~5146	1
2543^~1618v6939^4134v~3841^~5435^6753^~8153	0
6325^~1787^9023^6v5446^~5549^~5703^~3888v4903^5744^~5408^9366^~8438v3129^4261	0
~351^~459^~2531v9459^9397^~1644v~8270^4980v5193^4194^7943v662^1031	0
2624^~54^1417v~5733^~3850^5161^7978^3044v~9917^1789	1
~1622^3754	0
~7188v~6049^~2783^7321v~3218^1930^~4629^~9376^~6139	1
~2598v~7187^1291v~9915^~3238^~9002v3559v~8361^~4113^~4892^4930	0
2455^7788v2961^1402v2404^~8198^571^~8501^6141v1209^~6346^~9291^845^~8338	1
4089v3721^684^5234^~2949	0
2905^839	0
3773^8935^~3180	0
7982^9914^~8863v~9027^3402	0
~8725^4722^~9511^9954v6952^~3678^3141	0
5915^~8425^15^~1390v~9742^9790^~5323^~7318^9394v~4747^~5782^2121v4345^1119^1369^8100	1
~150^2206v6448^158	0
6259v1180v1528^~8088^~2540^3919v~4395^~3571	1
3324^1571^~6139^2281v~9036^1136v~9963^~4726^~6714^8938^4369v~3135^~3963^~714^315^1391v~1571^~2057^6864^~9066	1
1736v~171v7068^9745^~3818^~1564v~1048^~1058^~226^6886v~8710^~5390	1
306^3352^4579v7696^~8169^7972v48v8789^1273	1
~5374^~5511v2047^~7023^2686^7551^8384v~5952^~947^6677^958^~6187v8647^9820v~559	0
6402^~3874^4596^~189^~4031v9323^127^638v2394v4166^1400^~658^4627^8128	1
~4206^~6316^~5567	0
6947v9456v3170^4679^7934v1132v8946^~9633^~8976	1
1348^~221^~4070^~9729v~5525^~6989^~9859	0
515v809^7838^~1109^10^~347v3825^5743^~1372^4677v4443	1
~7132v~8119v~2057^1054^3586	1
4357^153v~3742^5289v~2152^~296^~7917^~3331v~8189^261v~5062^~5658^~1226^~8698^~5625	0
~3664^~6473^~7086^8270^~2454v8710^6082	0
~232^~2236^~6929	0
6867	1
~9296^~9587^~6443^~6815^1974v~8677^8831^6313^1681v~6598^1385^907^~7366^~1907	0
~9906^4230	0
5819^~7149v334^9202^5752^3239v~9632^1802^~8776v~5042^9882^~8341^~3639^7999	1
~8738^8190^3073	0
5981^7343	1
1860^~4109^~6100^2531v8027^6217^~3516^1648^2307v~8167^~4119v~8910^~162v2059^~1140^6700^9929^2920	1
4872v~52^7863^6673^1680^~2741	1
1955^~616	0
9390^~9931v1896^~8876	0
4450	1
2310^~6594v6838^5224^~6286^286^~5132v~7866^~117^~4072^~1768v~6478^1049^1169^~8208^9823v9580^~9016^1475	1
1837^5974^1182^~3831v6144	0
~2226^9119^~2381v~627^9448^~9682v~2982^~6432^~3335	0
~7790^~2665^~3233v~6393^5648^~9648v8983^5394^~1276^243^1994	0
~4051^9008^~4544v~3840^9289^~8884^~535^6611v8986^2383^~9267^9320^8991v~2064^~50^8406^4923	0
4443^~9099^3016^~7565v~4694v2896^~3677^9201^~7047v~2780v~6208	1
6701^3065^9069v~3502v~7290^2294^1187^~7953^325v~4542v6237	1
~6658v~1875v3424^~2192^~8869v8205^8133^5721	1
~4695^~3451	0
~6058^~5372^7917^~1393v663^6676v~8071^3004v~946^~3809^~9074^7200	1
1144v~3202v~6495^~8503v~2484^~8450^6215v764^9254	0
2677^9242^7930^7545^4543v6970v2586^~7832v2563^6156	1
~2624^~867^5842v7477^~8635v~7730^6737^2364^~4587	0
313^6348^~876^~1739^~2661v1321^~9301^~2865^729v1405^~8170^~1965v1436^~4531^1804^~3218	0
~4492^9935v~3513^~6676^~971v6862^1966^4028v2944^~847^~9571v~1829^956^3373^~1757	1
~9782^~1367^3767v3739^~1532^~7818^3422^7043v3724^~7317^6697v2386^7596^~5107^2105v~4918^~8546^6451	1
~5631^~6608^9393^2250^~4621v~9229^3781^~9759^~4843v3641^2732v~7635^8881^~2637^7413^8945	1
~7511^5160^5817v~5027^~9735^5545v4152^949^8475	0
~7258^6760^~1722^4261v~7193v2772v5181v~1829^6114^441^9205^~3555	1
~5358v2308^~7249^~8803^4509v~3264^~8618v~9804^~7743^~8047v9986^~2258^6059^~4602	1
6931^~5206^~1009v~2256	1
~6066v1537^3937v~3458^~6455^~3244^~5163^9204v~2488^~4134v265^~454^5550^9109^9573	1
~1707^~7607v~4837^2858^5882^~786	1
4055^2467^~67^~1267^~7300v~169^9586^9529^~2718	0
357^~1218^1173v3170^~8474^9051v~8539v4422^~1332^~6089^4015^6739	1
9838^3534^5590^~5043	0
~6491^~1673^~4713^~767v~9067v1738^~9020^~1028^~6661^~7915v~5332^866^~6921^972^3711	0
958v6422^~4183v~3943v~1177^4792^8330^2004^~5594v8354^~5494	1
~1665v7069^8501	1
2172^327	0
~8064^~5001v~4674^~1106^~570^9170v1936^8804^336^~1183^2095v8419^~9248^4010	1
~6535^~4022^~6383	1
~7963^~5715^4825v~1388^~9920v~7001^3033^~7876	0
~5000^~7827^8539^2286v~6953v~5439	1
8332^7415^800^~5660v~8213^1742^1625	0
~9795v5367^~5785v6759^8035^1398^3242^~5462v5772^~8718^~1869^3833v~1951^~1958^~8265	0
~914v~4082	1
7181^8110^~4023v~2469^6775^4875^3302	0
~5823^~3031v~7667^538v9611v5605	1
~2082^~6495	0
3552v~2583^~3945^~9251^1743^357v9292	1
~4900^1867v~2532^1294	0
4933^~4365^713v~6906^6665v~2674^6626v8663^~8747^3704^3510^3693	0
2944^5046^962v3600^~5519^~4918^~3775v~9050^8820^6748^5070v~5407v~7544^~8604^4016	1
~5516^~1047^3996v6494v3030^~8278v~3735^9630^~9797^~8270^~4117v7002^6577	1
~8486^~1461^~1104^~4004v~8542^~5582	0
7649^~2022^~9939^2116	0
~3125^7581^~2011	0
9865^~2762^~3432^9700^~2927	0
